Topic,Count,Name,Representation,Representative_Docs
-1,89,-1_items_order_order items_items customer,"['items', 'order', 'order items', 'items customer', 'delivery edit', 'edit order', 'edit', 'produce', 'customer', 'pre delivery']","['Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their existing order.', 'Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their existing order.', 'Orders - Pre delivery -> Edit Order Items | Customer wants to add a product to their order.']"
0,71,0_cancelation_delivery cancelation_cancelation customer_cancel,"['cancelation', 'delivery cancelation', 'cancelation customer', 'cancel', 'wants cancel', 'cancel order', 'pre', 'orders pre', 'pre delivery', 'orders']","['Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.', 'Orders - Pre delivery -> Cancelation | Customer wants to cancel their order.', 'Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.']"
1,55,1_partnerlink_administration_agency administration_agency,"['partnerlink', 'administration', 'agency administration', 'agency', 'update', 'information', 'trainings', 'partnerlink general', 'partner trainings', 'administration partner']","['Agency Administration -> Update Information | Customer wants to update the hours of operation for a food pantry.', 'Agency Administration -> Partner Trainings | Customer wants to know how to update their hours on Partner link.', 'Agency Administration -> Partner Trainings | Customer wants to know the hours of operation.']"
2,52,2_missing_delivery pickup_missing item_pickup missing,"['missing', 'delivery pickup', 'missing item', 'pickup missing', 'pickup', 'item', 'redeliver', 'item redeliver', 'redeliver customer', 'refund']","['Delivery / Pickup -> Missing Item - Redeliver | Customer wants to add missing items to their pickup order.', 'Delivery / Pickup -> Missing Item - Redeliver | Customer is missing an item and wants it to be added to their order.', 'Delivery / Pickup -> Missing Item - Redeliver | Customer missing items from their order and wants them to be delivered.']"
3,38,3_menu_menu general_availability_inventory availability,"['menu', 'menu general', 'availability', 'inventory availability', 'menu inventory', 'availability customer', 'inventory', 'wants know', 'know', 'questions customer']","['Menu -> Inventory Availability | Customer wants to know when more 8 oz shelf stable milk will be available.', 'Menu -> Inventory Availability | Customer wants to know when more 8 oz milk will be available.', 'Menu -> Inventory Availability | Customer wants to know when more peanut butter will be available.']"
4,37,4_delivery edit_items customer_order items_edit order,"['delivery edit', 'items customer', 'order items', 'edit order', 'edit', 'order', 'cases', 'add', 'wants add', 'items']","['Orders - Pre delivery -> Edit Order Items | Customer wants to add 5 cases of whole chicken to their order.', 'Orders - Pre delivery -> Edit Order Items | Customer wants to add a pallet to their order.', 'Orders - Pre delivery -> Edit Order Items | Customer wants to add 4 cases of eggs to their order.']"
5,36,5_pickup_pallet pickup_pickup pallet_pickup customer,"['pickup', 'pallet pickup', 'pickup pallet', 'pickup customer', 'pallet', 'pallets', 'delivery pickup', 'pick', 'pick pallets', 'pallets delivery']","['Delivery / Pickup -> Pallet Pickup | Customer wants to pick up empty pallets from a previous delivery.', 'Delivery / Pickup -> Pallet Pickup | Customer wants to pick up empty pallets from previous delivery.', 'Delivery / Pickup -> Pallet Pickup | Customer wants to pick up empty pallets from a previous delivery.']"
6,35,6_produce_request customer_produce request_delivery produce,"['produce', 'request customer', 'produce request', 'delivery produce', 'request', 'add', 'wants add', 'pre', 'pre delivery', 'orders pre']","['Orders - Pre delivery -> Produce Request | Customer wants to add produce to their order if it becomes available.', 'Orders - Pre delivery -> Produce Request | Customer wants to add items to their order.', 'Orders - Pre delivery -> Produce Request | Customer wants to add produce to their order.']"
7,33,7_grants_billing grants_billing_grant,"['grants', 'billing grants', 'billing', 'grant', 'support customer', 'grant support', 'grants grant', 'support', 'invoice', 'grants general']","['Billing / Grants -> Grant Support | Customer wants to apply their balance to an order.', 'Billing / Grants -> Grant Support | Customer wants to know the balance of their account.', 'Billing / Grants -> Grant Support | Customer wants to know if they can apply the grant to their order.']"
8,31,8_pickup general_delivery pickup_eta_status customer,"['pickup general', 'delivery pickup', 'eta', 'status customer', 'request eta', 'eta status', 'pickup request', 'pickup', 'status', 'delivery']","['Delivery / Pickup -> Request ETA / Status | Customer wants to know the delivery time for their food order.', 'Delivery / Pickup -> Request ETA / Status | Customer wants to know the status of their delivery.', 'Delivery / Pickup -> Request ETA / Status | Customer wants to know the status of their delivery.']"
9,31,9_window customer_window_datetime_datetime change,"['window customer', 'window', 'datetime', 'datetime change', 'delivery datetime', 'new window', 'change new', 'change', 'new', 'wants change']","['Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the pickup time for their order.', 'Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the pickup time for their order.', 'Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the delivery date.']"
10,30,10_items_add items_items order_edit,"['items', 'add items', 'items order', 'edit', 'delivery edit', 'items customer', 'order items', 'edit order', 'wants add', 'add']","['Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.', 'Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.', 'Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.']"
11,26,11_reschedule_change_change reschedule_reschedule customer,"['reschedule', 'change', 'change reschedule', 'reschedule customer', 'delivery datatime', 'datatime change', 'datatime', 'delivery date', 'date', 'delivery']","['Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the delivery date of their order.', 'Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the delivery date for their order.', 'Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change their delivery date.']"
