Topic,Topic_Label,Topic_Keywords,Doc_1,Doc_2,Doc_3,Doc_4,Doc_5,Doc_6,Doc_7,Doc_8
0,cancelation,"cancelation, delivery cancelation, cancelation customer, cancel, wants cancel, cancel order, pre, orders pre",Orders - Pre delivery -> Cancelation | Customer canceled an order.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order due to a family emergency.,Orders - Pre delivery | Customer wants to cancel an order.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order that was scheduled for delivery on Friday.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.,Orders - Pre delivery -> Cancelation | Customer wants to cancel a delivery scheduled for today due to the building being closed.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order delivery date due to a mistake.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.
6,produce,"produce, request customer, produce request, delivery produce, request, add, wants add, pre",Orders - Pre delivery -> Produce Request | Customer wants to add 25 cases of mangoes to their order.,Orders - Pre delivery -> Produce Request | Customer wants to add 8 apples to their order with the order ID 500049.,Orders - Pre delivery -> Produce Request | Customer wants to know if there will be any produce available for their Friday delivery and is informed that the food bank will be closed due to weather.,Orders - Pre delivery -> Produce Request | Customer requests support for an order.,Orders - Pre delivery -> Produce Request | Customer requests for produce supplement for their order.,Orders - Pre delivery -> Produce Request | Customer requests produce for an order.,Orders - Pre delivery -> Produce Request | Customer wants to know which produce is available for pickup.,Orders - Pre delivery -> Produce Request | Customer requests assistance with their order.
4,delivery edit,"delivery edit, items customer, order items, edit order, edit, order, cases, add",Orders - Pre delivery -> Edit Order Items | Customer wants to add 35 cases of SO153494 to their order.,Orders - Pre delivery -> Edit Order Items | Customer needs help editing an order for a large distribution and wants to add a pallet of mixed vegetables and reduce the quantity of another item.,Orders - Pre delivery -> Edit Order Items | Customer wants to cancel red peppers from their order and add 1 pallet of cabbage and 1 pallet of bok choy to their order.,"Orders - Pre delivery -> Edit Order Items | Customer wants Leslie Haywood to revise the subject of an email regarding an order for Grape Juice, Pollock Nuggets, and TEFAP Bon Shrimp Peeled.",Orders - Pre delivery -> Edit Order Items | Customer wants to add 300007 Spaghetti and 5 300433 Elbow Macaroni to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add item 300598 turkey breast to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add 500372 CC Drumsticks to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add a request for 10 boxes of fresh eggs to their order.
-1,Outlier / Noise,,Orders - Pre delivery -> Produce Request | Customer wants to add 25 cases of mangoes to their order.,Orders - Pre delivery -> Produce Request | Customer wants to add 5 pallets of greens to their upcoming delivery.,Orders - Pre delivery -> General Questions | Customer wants recipe cards and nutritional information added to their order.,Orders - Pre delivery -> General Questions | Customer wants to schedule a delivery for Friday May 17 2024 and the appointment is not showing up on the calendar.,Orders - Pre delivery -> Edit Order Items | Customer requests additional items to be added to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add 10 bags of potatoes and cantaloupe to their order.,Feedback - Concern / Negative -> Operations | Customer is confused about the shopping process and wants an explanation.,Partner Produce Limit -> Overage Alert | Customer has reached their produce limit on their last sales order.
7,grants,"grants, billing grants, billing, grant, support customer, grant support, grants grant, support",Billing / Grants -> Grant Support | Customer wants to extend the deadline for a grant and have the order deducted from the grant.,Billing / Grants -> Grant Support | Customer wants to know the reason for a balance remaining on their account after a grant should have covered all purchases.,Billing / Grants -> Grant Support | Customer wants to know why the grant money is still showing on their account.,Billing / Grants -> Questions for Accounting | Customer wants to resolve payment issue.,"Billing / Grants -> Discrepancy in Invoice | Customer inquires about an order that was canceled and never delivered, and wants to know the total amount due for a refund.",Billing / Grants -> Discrepancy in Invoice | Customer requests assistance in resolving an issue with their order and delivery fee.,Billing / Grants -> Discrepancy in Invoice | Customer wants to resolve an issue with an invoice for a delivery that was not deleted after the meals were returned.,Billing / Grants -> General Questions | Customer needs help editing their order.
14,cafb staff,"cafb staff, administration connection, connection, connection cafb, cafb, staff, staff customer, administration",Agency Administration -> Connection to CAFB Staff | Customer wants to know the status of their Grocery to Go order and requests a robo call if necessary.,"Agency Administration -> Connection to CAFB Staff | Customer requests an increase in the monthly produce allocation for their food pantry, citing reasons such as the increasing number of guests, limited storage space, and the importance of diversity in the food provided.",Agency Administration -> Connection to CAFB Staff | Customer requests UEI number for finance department.,Agency Administration -> Connection to CAFB Staff | Customer wants to connect a client with the Food Coding Guidelines.,Agency Administration -> Connection to CAFB Staff | City of Greenbelt wants to enter into an MOU with the Capiral Area Food Bank for funding.,Agency Administration -> Connection to CAFB Staff | Customer wants to pass on their pickup day to another organization.,Agency Administration -> Connection to CAFB Staff | Customer wants information on the training site.,Agency Administration -> Connection to CAFB Staff | Customer is seeking assistance with grants for transportation for food pantries.
1,partnerlink,"partnerlink, administration, agency administration, agency, update, information, trainings, partnerlink general",PartnerLink -> New Shopper | Customer wants to sign up someone for a training.,PartnerLink -> New Shopper | Customer wants to link a customer to their account.,Agency Administration -> Partner Trainings | Customer wants to know the location of the meeting.,PartnerLink -> General Questions | Customer wants confirmation of meeting details.,Agency Administration -> Update Information | Customer informs of the store hours.,Agency Administration -> Update Information | Customer forgot their password and needs a new login for the northwest region.,Agency Administration -> Partner Trainings | Customer wants to know how to update their hours on Partner link.,PartnerLink -> New Shopper | Customer informs the pantry of a new manager and provides contact information.
8,pickup general,"pickup general, delivery pickup, eta, status customer, request eta, eta status, pickup request, pickup","Delivery / Pickup -> General Questions | Customer wants to reserve a delivery slot for 67 deliveries on the next day, due to the Capital Area Food Bank closing early.",Delivery / Pickup -> General Questions | Customer wants to know why they have a balance of $75 on their invoice and wants an explanation of the charge.,Feedback - Concern / Negative -> Transportation | Customer wants to move their order delivery time to the morning.,Delivery / Pickup -> Request ETA / Status | Customer wants to know if the delivery truck will arrive and at what time.,Delivery / Pickup -> Request ETA / Status | Customer wants to know the estimated time of arrival of the next delivery truck.,Delivery / Pickup -> Request ETA / Status | Customer wants to know the delivery time for their food order.,Delivery / Pickup -> General Questions | Customer is informing about the weather update and order scheduling.,Delivery / Pickup -> General Questions | Customer wants to correct the phone number for delivery orders.
21,delivery report,"delivery report, report issue, issue, report, issue customer, orders, delivery, orders pre",Orders - Pre delivery -> Report Issue | Customer wants to reschedule the delivery date for order SO182780.,"Orders - Pre delivery -> Report Issue | Customer is experiencing an issue with their grant balance reappearing after deleting it, and is unable to place an order.","Orders - Pre delivery -> Report Issue | Customer informs support team that an order was not delivered due to lack of drivers in Virginia, and requests that the delivery be rescheduled for the next day.",Orders - Pre delivery -> Report Issue | Customer wants to discuss the issue with Capital Christian Fellowships produce hub and its impact on TransportationOps order sizes.,Orders - Pre delivery -> Report Issue | Customer wants to report an issue with the chicken received in their order and wants to know how to proceed.,"Orders - Pre delivery -> Report Issue | Customer is trying to edit an order but the system is telling them it's closed, and they are questioning the reason for the closure.",Orders - Pre delivery -> Report Issue | Customer wants to bring to attention a possible mislabeled product.,"Orders - Pre delivery -> Report Issue | Customer wants to cancel their current order and create a new one with a different delivery window, and also lists missing items from their previous order."
10,items,"items, add items, items order, edit, delivery edit, items customer, order items, edit order",Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to an existing order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add item 300007 Spaghetti to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.
9,window customer,"window customer, window, datetime, datetime change, delivery datetime, new window, change new, change",Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the pickup time for their order.,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the pick up time for their order.,Orders - Pre delivery ->  Request unavailable window | Customer requests to reschedule delivery for Monday and have items added to Tuesday delivery.,Orders - Pre delivery ->  Date/Time Change - New window | Customer requests to combine two orders on the same truck for delivery.,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to reschedule their delivery date.,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to cancel their subscription.,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to reschedule delivery due to a system error.,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the delivery date.
