Description,Summary,Cause of Issue,Request Category,Comments,input_text,Topic,Topic_Probability,Matched_Subtopic
Sent email Friday to cancel order Yvonne Brown Outreach Director On Aug 14 2024 at 9 i Capital Area Food Bank aS 2026449845 4900 Puerto Rico Ave NE Washington DC 20017,Customer canceled an order.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,082024 09f58131cbb67d43c7b30d6b58d40bd077Hi systemsentvianetsuitecom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 082024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I can confirm that this order has been cancelled Charity,Orders - Pre delivery -> Cancelation | Customer canceled an order.,0,1.0,cancel order
Can you please add 25 cases of the following to my order SO 158960 h1 827022 Mangos 10 CASE PG Only 110 Lbs Case,Customer wants to add 25 cases of mangoes to their order.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,052024 12f58131cbb67d43c7b30d6b58d40bd077Hi spiceporyahoocom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support Your order has been updated Charity,Orders - Pre delivery -> Produce Request | Customer wants to add 25 cases of mangoes to their order.,6,0.3911785427410097,Add to Order
Please add the following to my order 35 cases SO153494 h2,Customer wants to add 35 cases of SO153494 to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,052024 11f58131cbb67d43c7b30d6b58d40bd077Hi secretarymetrosdaorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer service I have updated your order Charity,Orders - Pre delivery -> Edit Order Items | Customer wants to add 35 cases of SO153494 to their order.,4,1.0,Add Items to Order
Good morning Can you please add the following to my order SO153490 25 cases 827022 Mangos 10 CASE PG Only 110 Lbs Case,Customer wants to add 25 cases of mangoes to their order.,Other,Orders - Pre delivery -> Produce Request,052024 09f58131cbb67d43c7b30d6b58d40bd077Hi spiceporyahoocom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have added 25 cases of item 827022 Mangos 10 CASE PG Only 110 Lbs Case to SO153490 Charity,Orders - Pre delivery -> Produce Request | Customer wants to add 25 cases of mangoes to their order.,-1,0.0,Add items to order
The deadline on our grant for 309761 is May 27 2024 When we tried to enter an order to use up that grant there were no delivery times available before May 27 because of the holiday weekend We spoke with Charity in Partner Support and she told us to submit our order with a May 28 delivery day and then email you to get the deadline extended by a day In addition to extending the deadline please have your finance department deduct the order from the above mentioned grant The computer automatically deducted it from our next MOCO grant which expires in June I apologize for causing you extra work Thank you for your assistance Dont hesitate to call if you have any questions Terry C 2407935108,Customer wants to extend the deadline for a grant and have the order deducted from the grant.,Request of Customer Relations,Billing / Grants -> Grant Support,052024 02f58131cbb67d43c7b30d6b58d40bd077Hi tjseamensaolcom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 02b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support While extensions are not promised I have notified the Regional Team of your situation and we are working on a solution We will follow up with you shortly with any updates Charity,Billing / Grants -> Grant Support | Customer wants to extend the deadline for a grant and have the order deducted from the grant.,7,0.6949550717787706,Grant Support
PLEASE CANCEL OUR ORDER S0164631 FOR JUNE 212024 WE WILL REORDER FOR A DIFFERENT DATE BECAUSE OF A MEMBERS DEATH AND FUNERAL ON THE DATE OF THE DATE FOR PICK UP THANKS ROBERT G WILLIAMS JR MT MORIAH BAPTIST CHURCH 1636 E CAPITAL ST NE WASHINGTON,Customer wants to cancel an order due to a family emergency.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,062024 11f58131cbb67d43c7b30d6b58d40bd077Hi ROBERT G WILLIAMS JR We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 11856abdcf948746f8bf9f1eafc84baf7fokay | 062024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have cancelled your order Charity,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order due to a family emergency.,0,1.0,cancel order
Hello We have not received our Grocery to Go Order as of 200 pm Please advise If it is not coming a robo call needs to go out so all the seniors do not show up Christal Batey On Feb 12 2025 at 11 i Good morning Partners We hope this message finds you well Today February 12th 2025 the Capital Area Food Bank is operating solely in an administrative capacity and there will be no deliveries or pickups due to the current weather conditions For partners who have orders scheduled for tomorrow or Friday we plan to operate under normal conditions However if you anticipate that your agency will be closed due to the weather please reach out to Customer Relations as soon as possible to discuss rescheduling your order at partnersupportcapitalareafoodbankorg or 2026449845 Additionally even if your site remains open we require confirmation that your location has been safely plowed and salted to allow for safe deliveries If a driver arrives at your site and finds it is not adequately prepared please be aware that your agency may incur a restocking fee Our delivery equipment cannot navigate through snow or ice safely and we prioritize the safety of both our drivers and your staff We appreciate your cooperation and understanding as we work together to ensure everyones safety during this weather event We are actively monitoring the situation and will keep you updated with any changes regarding our operations for the rest of the week Thank you for your partnership Stay safe and warm Best regards Customer Relations,Customer wants to know the status of their Grocery to Go order and requests a robo call if necessary.,Request of Customer Relations,Agency Administration -> Connection to CAFB Staff,022025 0236Good afternoon Please reach out to the Senior Program at 2026449880 or shscapitalareafoodbankorg Unfortunately we cannot provide an ETA for your Grocery Go Order as that is managed by another department Thank you | 022025 0240I consulted with my fellow team member on the Senior Hunger Program and she let me know that your delivery on Tuesday 218 | 022025 0246Disregard Michelle let me know you are talking to someone on her team thank you,Agency Administration -> Connection to CAFB Staff | Customer wants to know the status of their Grocery to Go order and requests a robo call if necessary.,14,0.4786042302655527,Food Coding Guidelines
Hello We were trying to edit the attached order but it would not allow us We have a large distribution this Saturday and needed to add pallet of mixed vegetables with cabbages and onions and pallet of item 700706 Reduce 520419 to 21 items Please Thanks much Dionne February Ebenezer Church of God,Customer needs help editing an order for a large distribution and wants to add a pallet of mixed vegetables and reduce the quantity of another item.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,062024 12f58131cbb67d43c7b30d6b58d40bd077Hi dasftyahoocom Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 062024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support At this time your order is locked and has moved to fulfillment We are unable to make any edits to your order during this time Charity,Orders - Pre delivery -> Edit Order Items | Customer needs help editing an order for a large distribution and wants to add a pallet of mixed vegetables and reduce the quantity of another item.,4,0.5327787613225232,Edit Order Items
Please cancel order number h2 SO163108 For St Joseph 101043 Thank you Pam White,Customer wants to cancel an order.,Request of Customer Relations,Orders - Pre delivery,062024 09f58131cbb67d43c7b30d6b58d40bd077Hi pamwhite2013gmailcom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have cancelled your order Charity | 062024 0265d20c5a0c84458e8ce1adb90d07460fcbee2f280b264d31a37e5b9e348eca13Thank you | 062024 02f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery | Customer wants to cancel an order.,0,1.0,cancel order
Good morning CAFB I pray you are doing well We have an egg and milk delivery on May 15 Can you add 5 pallets of 700702 Greens Assorted 8x4oz 72cs and 5 pallets of 700701 Greens Assorted 6x8oz54cs on the order Thank you so much h2,Customer wants to add 5 pallets of greens to their upcoming delivery.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,052024 02f58131cbb67d43c7b30d6b58d40bd077Hi marieodahcapitalchristianorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 0265d20c5a0c84458e8ce1adb90d07460f3e811295a79f43b59b948d895785c52aThank you for your response | 052024 02b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support I have updated your order with 5 of item 700702 and 3 of item 700701 because that is all we had left Charity | 052024 0365d20c5a0c84458e8ce1adb90d07460f3e811295a79f43b59b948d895785c52aThank you so so much Be blessed | 052024 03f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Produce Request | Customer wants to add 5 pallets of greens to their upcoming delivery.,-1,0.0,Schedule delivery
